probe,scene,N,q_light,ho_psnr,ho_mae
A,22a62914e48948cbb93a08364e3d650c,2,2,16.63777300403289,0.1387493759393692
A,22a62914e48948cbb93a08364e3d650c,3,2,16.637746149172983,0.13874314725399017
A,2408f7b6d1d64b9ca70b14a84dee8d84,1,2,15.535579917453555,0.12705472111701965
A,2408f7b6d1d64b9ca70b14a84dee8d84,2,2,15.535579338688375,0.12705464661121368
A,2408f7b6d1d64b9ca70b14a84dee8d84,3,2,15.535596701677347,0.12705446779727936
A,24a0d4520d444db7980f3737950f2a5c,1,2,8.496133589185897,0.3362765610218048
A,24a0d4520d444db7980f3737950f2a5c,2,2,8.496134504663713,0.33627644181251526
A,24a0d4520d444db7980f3737950f2a5c,3,2,8.496133131447062,0.3362765610218048
A,2570d5ef94e740e9bd85d42e6b8c59f6,1,2,19.423873313367153,0.08393818885087967
A,2570d5ef94e740e9bd85d42e6b8c59f6,2,2,19.423881814629908,0.08393807709217072
A,2570d5ef94e740e9bd85d42e6b8c59f6,3,2,19.42387508446219,0.08393823355436325
A,25b1735633484414aef07006a0099c26,1,2,22.702741224265974,0.06333904713392258
A,25b1735633484414aef07006a0099c26,2,2,22.70273368796582,0.06333902478218079
A,25b1735633484414aef07006a0099c26,3,2,22.702719745845016,0.06333914399147034
A,25b74c8c02ef41f6bdb3dc2b097c6eee,1,2,14.329789534049329,0.1615591049194336
A,25b74c8c02ef41f6bdb3dc2b097c6eee,2,2,14.329609333463749,0.16156454384326935
A,25b74c8c02ef41f6bdb3dc2b097c6eee,3,2,14.329822856631264,0.1615598499774933
A,260151f2360c484e8c0a5034ff391021,1,2,20.28666098073011,0.08142683655023575
A,260151f2360c484e8c0a5034ff391021,2,2,20.286006449391287,0.08143413066864014
A,260151f2360c484e8c0a5034ff391021,3,2,20.285948993594136,0.08143536001443863
A,273a3aa035784eacb89db08c1a0710bf,1,2,16.18415735143462,0.11909827589988708
A,273a3aa035784eacb89db08c1a0710bf,2,2,16.18415869540665,0.11909819394350052
A,273a3aa035784eacb89db08c1a0710bf,3,2,16.184160711365475,0.11909815669059753
A,276f390b0cfc475898b445466d387cf6,1,2,19.49969987853446,0.08302557468414307
A,276f390b0cfc475898b445466d387cf6,2,2,19.49968798344331,0.08302563428878784
A,276f390b0cfc475898b445466d387cf6,3,2,19.49969591350046,0.08302571624517441
A,27b4f79643cb40ae8cdde5d5a9adebf1,1,2,20.116159201418803,0.08371270447969437
A,27b4f79643cb40ae8cdde5d5a9adebf1,2,2,20.11616543290923,0.08371281623840332
A,27b4f79643cb40ae8cdde5d5a9adebf1,3,2,20.11616709464152,0.08371257036924362
A,285fbc3ac47c47dead4bae4f21dbf966,1,2,8.974835520805533,0.3162369430065155
A,285fbc3ac47c47dead4bae4f21dbf966,2,2,8.97483705404259,0.3162369430065155
A,285fbc3ac47c47dead4bae4f21dbf966,3,2,8.974836031884491,0.3162369430065155
A,28e9c03735124472877f9f4741a74d78,1,2,22.026265966354085,0.05647290498018265
A,28e9c03735124472877f9f4741a74d78,2,2,22.026280154786907,0.056472860276699066
A,28e9c03735124472877f9f4741a74d78,3,2,22.026279187392284,0.0564727857708931
A,28f3639867884b1ab9357e990899d9d6,1,2,10.152729798170716,0.27010950446128845
A,28f3639867884b1ab9357e990899d9d6,2,2,10.152729798170716,0.27010950446128845
A,28f3639867884b1ab9357e990899d9d6,3,2,10.152727787233285,0.27010953426361084
