scene,N,subset,pixel_seed,cheap_info
A_cylinder,3,"0,20,24",2055746903,-5.815796006313761
A_cylinder,3,"0,1,8",1857471037,-5.851785843300485
A_cylinder,3,"26,28,30",981216759,-6.335101820595195
A_cylinder,3,"0,3,31",1736916485,-5.898263759570384
A_cylinder,3,"0,15,21",1691883169,-5.819207962924357
A_cylinder,3,"15,23,25",1221161310,-6.845929542424096
A_cylinder,3,"7,23,30",930791955,-6.678923976097469
A_cylinder,3,"0,15,20",1878151846,-5.810387016323482
A_cylinder,3,"3,8,21",1002365814,-5.939286940119808
A_cylinder,3,"13,15,30",296986525,-5.974524079344824
A_cylinder,3,"12,19,31",786373499,-6.582529269966177
A_cylinder,3,"3,5,16",1657715336,-5.953359483167444
A_cylinder,3,"3,9,14",1759400126,-5.872686134655706
A_cylinder,3,"13,23,31",1147770759,-6.017107707595096
A_cylinder,3,"7,15,27",27360525,-7.188044799446499
A_cylinder,3,"13,16,23",328539639,-5.926794717679359
A_cylinder,3,"10,16,20",115954474,-6.012953115852204
A_cylinder,3,"3,8,12",1468325590,-5.825716473682543
A_cylinder,3,"10,17,28",974268285,-6.260225943456288
A_cylinder,3,"5,8,28",280605295,-5.8527049371827555
A_cylinder,3,"11,16,20",635270231,-6.10542071154888
A_cylinder,3,"11,12,17",791183525,-6.249912660402508
A_cylinder,3,"0,6,29",41541746,-5.888247546138508
A_cylinder,3,"13,14,27",2042398173,-5.973281774071942
A_cylinder,3,"2,8,15",252170801,-5.9209398095615144
A_cylinder,3,"1,18,31",39076216,-6.117617756457823
A_cylinder,3,"2,6,29",511581563,-6.36159163791555
A_cylinder,3,"7,26,30",1742079318,-6.123303658447883
A_cylinder,3,"0,19,21",1372717661,-5.811895332588157
A_cylinder,3,"0,5,7",960790456,-5.8294525796594625
A_cylinder,3,"8,13,30",1169346685,-5.8642153957104775
A_cylinder,3,"17,27,30",622192976,-7.546762576487483
A_cylinder,3,"4,8,10",67854947,-5.8976465342447115
A_cylinder,3,"2,7,13",321466004,-5.955920482129895
A_cylinder,3,"15,24,25",185590719,-6.600522894949336
A_cylinder,3,"7,22,27",2072173027,-7.082581728838538
A_cylinder,3,"7,29,30",1304134198,-6.325724603390413
A_cylinder,3,"19,23,26",832059759,-6.230425905995984
A_cylinder,3,"0,9,17",1982522522,-5.852102076694719
A_cylinder,3,"19,22,29",1114884166,-6.563129723637919
A_cylinder,3,"6,25,30",903937599,-7.3196312938432575
A_cylinder,3,"3,7,29",1144905404,-6.095086128028129
A_cylinder,3,"15,27,31",1835755899,-6.692314355440013
A_cylinder,3,"13,20,29",1553137798,-5.972258566457507
A_cylinder,3,"11,22,25",1740433494,-6.612982979596881
A_cylinder,3,"8,11,31",2063942053,-5.923380365522955
A_cylinder,3,"9,21,30",1988486514,-6.09122972381273
A_cylinder,3,"14,24,30",1700339689,-6.5477519411932334
A_cylinder,3,"11,15,25",215970173,-6.336116200582014
A_cylinder,3,"6,26,30",275985570,-6.36206774476714
A_cylinder,3,"11,13,20",381721885,-6.012207034444211
A_cylinder,3,"4,13,16",1036606332,-5.894187047733895
A_cylinder,3,"10,18,31",1733569692,-6.149019997583878
A_cylinder,3,"2,6,23",1936314555,-6.5479649818232915
A_cylinder,3,"3,16,22",735132852,-6.013084275139122
A_cylinder,3,"5,9,10",2110203595,-5.916389112844785
A_cylinder,3,"12,20,22",23283087,-7.579598105108724
A_cylinder,3,"18,21,30",1704851929,-6.126027996494463
A_cylinder,3,"12,24,31",346614930,-6.356534328221512
A_cylinder,3,"0,15,28",454383334,-5.8119852885236725
A_cylinder,3,"4,11,13",22400060,-5.955957496500332
A_cylinder,3,"6,9,30",1117895655,-7.834469739936684
A_cylinder,3,"7,14,30",687146674,-7.542628405825818
A_cylinder,3,"1,16,25",1989678347,-6.048563399347864
A_cylinder,3,"3,23,25",1895771582,-6.050799586395786
A_cylinder,3,"4,13,21",1946744247,-5.978978421027586
A_cylinder,3,"2,4,10",1557516600,-6.054938846214716
A_cylinder,3,"21,25,29",1110659177,-6.1236090480054735
A_cylinder,3,"14,22,28",722319863,-7.1145686429018955
A_cylinder,3,"23,24,25",1937377661,-6.54854338222087
A_cylinder,3,"1,21,24",1609158248,-6.071970547714143
A_cylinder,3,"0,19,27",1164708581,-5.806942672229273
A_cylinder,3,"12,19,27",2082615974,-7.26267704824723
A_cylinder,3,"2,11,13",222184846,-5.958939846408682
A_cylinder,3,"5,7,10",1847563085,-5.825870411824837
A_cylinder,3,"8,17,29",553358044,-5.94806866916966
A_cylinder,3,"4,24,28",1821539931,-6.3924767454149265
A_cylinder,3,"12,13,26",836234622,-5.977580945416617
A_cylinder,3,"6,11,12",278446957,-6.25014592885177
A_cylinder,3,"13,14,28",882382259,-5.922616261004259
A_cylinder,3,"2,13,27",79417538,-6.011325339862429
A_cylinder,3,"11,15,17",2025497434,-6.360683707882146
A_cylinder,3,"0,14,24",782376998,-5.830295031722247
A_cylinder,3,"10,11,30",610681837,-6.204740285065673
A_cylinder,3,"1,15,29",33962446,-6.320755691080661
A_cylinder,3,"4,11,29",844669793,-6.215637135163672
