scene,N,subset,solver_seed,render_realization,reconstruction_error,ho_psnr,query_light,final_objective,grad_norm,proj_grad_norm,tail_rel_change,tail_range_abs,conv_finite,old_style_converged,iters,trace_file
conf_prism8,5,"11,12,19,21,30",40000,0,0.0032443103846162558,18.11193428321075,0,6.150457193143666e-05,0.00031584359857919734,2.3835718631744385,0.023215440824007786,,1,0,1800,conf_prism8_N5_11-12-19-21-30_s40000_r0.npy
conf_prism8,5,"11,12,19,21,30",40001,0,0.003246240084990859,18.15730476017648,0,6.171012500999495e-05,0.0003264916489589292,2.536595344543457,0.014872470560492845,,1,0,1800,conf_prism8_N5_11-12-19-21-30_s40001_r0.npy
conf_prism8,5,"11,12,19,21,30",40002,0,0.003241879865527153,18.1118617471424,0,6.146210216684267e-05,0.0003204895115030593,2.459150552749634,0.013487644021092217,,1,0,1800,conf_prism8_N5_11-12-19-21-30_s40002_r0.npy
conf_prism8,5,"11,12,19,21,30",40003,0,0.003245385130867362,18.135858865445925,0,6.147764361230657e-05,0.0003170224349347777,2.4064273834228516,0.014562532849876257,,1,0,1800,conf_prism8_N5_11-12-19-21-30_s40003_r0.npy
conf_prism8,5,"11,12,19,21,30",40004,0,0.0032483581453561783,18.156061246408232,0,6.196372851263732e-05,0.000316148600131861,2.382101058959961,0.013850260032901882,,1,0,1800,conf_prism8_N5_11-12-19-21-30_s40004_r0.npy
conf_prism8,8,"0,6,9,11,13,25,27,28",40002,0,0.0032907361164689064,41.33417324133633,1,6.987185042817146e-05,0.0003321634860185438,2.343235731124878,0.018784635900396477,,1,0,2400,conf_prism8_N8_0-6-9-11-13-25-27-28_s40002_r0.npy
conf_prism8,8,"0,6,9,11,13,25,27,28",40003,0,0.003297768533229828,41.30097768435411,1,6.934422708582133e-05,0.00033058002067376275,2.346834659576416,0.012218330895920696,,1,0,2400,conf_prism8_N8_0-6-9-11-13-25-27-28_s40003_r0.npy
conf_prism8,8,"0,6,9,11,13,25,27,28",40004,0,0.0032955387141555548,41.348228013913975,1,6.976826989557594e-05,0.0003342686068316792,2.364245653152466,0.016324224794600578,,1,0,2400,conf_prism8_N8_0-6-9-11-13-25-27-28_s40004_r0.npy
conf_prism8,8,"1,3,7,9,10,18,22,23",40002,0,0.003252014983445406,17.839894955336295,0,6.104441854404286e-05,0.00031230888844217087,2.3493053913116455,0.00932981051817064,,1,0,2400,conf_prism8_N8_1-3-7-9-10-18-22-23_s40002_r0.npy
conf_prism8,8,"1,3,7,9,10,18,22,23",40003,0,0.003249993547797203,17.86622204703199,0,6.0680868045892566e-05,0.00031393125247591836,2.379798412322998,0.01634393156285166,,1,0,2400,conf_prism8_N8_1-3-7-9-10-18-22-23_s40003_r0.npy
