domain,model,scene,N,si_mae_A,light_dir_err,light_shape_err
analytic15_sh,sh,07a81928f67f4aa2ad0d59a057ae374e,15,0.03875736892223358,12.560256012444125,0.4302738616359593
analytic15_sh,sh,07c2642631f947a5ac799dddeea39eb9,1,0.058421049267053604,26.68441086254964,0.6971120861033222
analytic15_sh,sh,07c2642631f947a5ac799dddeea39eb9,2,0.0606134757399559,18.737551961717056,0.5135949913936991
analytic15_sh,sh,07c2642631f947a5ac799dddeea39eb9,3,0.021862125024199486,15.357659012684998,0.48677212651774376
analytic15_sh,sh,07c2642631f947a5ac799dddeea39eb9,5,0.01910797320306301,16.933590790850246,0.5352518107314482
analytic15_sh,sh,07c2642631f947a5ac799dddeea39eb9,7,0.023581795394420624,15.318824979758611,0.4763625115769376
analytic15_sh,sh,07c2642631f947a5ac799dddeea39eb9,10,0.020274247974157333,13.149751404684974,0.44356302660890234
analytic15_sh,sh,07c2642631f947a5ac799dddeea39eb9,15,0.020367812365293503,13.072688671181204,0.43738877493004125
analytic15_sh,sh,086be698bca14d7791d9032884909954,1,0.09399830549955368,18.583996460915046,0.6210439857057697
analytic15_sh,sh,086be698bca14d7791d9032884909954,2,0.09962780773639679,14.488592994431311,0.48433245967506655
analytic15_sh,sh,086be698bca14d7791d9032884909954,3,0.019345885142683983,13.38471477580903,0.4710189694500771
analytic15_sh,sh,086be698bca14d7791d9032884909954,5,0.011915634386241436,11.214714797670272,0.429496609167927
