P,N,cutoff,path,full_lam_min_pos_norm,full_lam_max_norm,full_logdet_pos_norm,full_a_opt_pos_norm,full_d_pos,full_trace,full_min_eig,full_gauge_residual,full_offdiag_max,rank_Fk_min,active_frac_min,boundary_frac_max,proxy_lam_min_norm,proxy_logdet_norm,proxy_a_opt_norm,proxy_valid_frac,scene,subset,variant
1000,8,1e-06,dense,2.756009990216149e-08,0.0028851844274669393,-7.215019238700529,37946.75290037114,998,1206.1450134689321,7.181712653462429e-13,8.519104777918474e-06,0.43940902909349666,2,0.202,0.0,0.0005256800312153064,-7.204105534353819,1581.806792242364,1.0,cube,"1,5,7,14,17,22,26,28",cap1000_cut1e-6
1000,8,1e-06,dense,3.791810302838569e-08,0.003130168756552889,-7.285621146458237,28198.218697217166,998,1141.5068297389803,6.1038597755649915e-12,1.4676824413798047e-05,0.7227042424874505,3,0.198,0.0,0.00047480018235123746,-7.273644107927787,1742.457941073129,1.0,cube,"2,4,10,16,17,24,25,26",cap1000_cut1e-6
1000,8,1e-06,dense,7.210998684504241e-06,0.0028245888785834805,-7.249369712435945,1839.3971328347852,997,1542.5627591667812,-5.449567837785366e-12,6.708920795322938e-06,0.4748636623855883,4,0.236,0.0,0.0004735125382206838,-7.245794316137908,1702.2807773048955,1.0,cube,"6,10,18,19,21,23,26,30",cap1000_cut1e-6
1000,8,1e-06,dense,6.738825426495601e-08,0.0018640775355772713,-6.981508285821071,15998.168940726839,998,1814.8446189314302,1.1826606982620092e-10,1.601161455718046e-05,0.3635522010761211,2,0.191,0.0,0.0007961724491280482,-6.971669477125462,1116.0456555406802,1.0,cube,"0,4,9,11,13,23,25,31",cap1000_cut1e-6
1000,8,1e-06,dense,3.7369526892809504e-08,0.004182705344724591,-7.758273539417145,30078.524993226547,998,1044.9353182375166,1.1452271798381512e-11,2.6353981777972976e-05,0.8471099998474216,2,0.191,0.0,0.0002491483371845734,-7.74777135698023,3265.663749326096,1.0,cube,"4,9,18,19,23,24,28,30",cap1000_cut1e-6
1000,8,1e-06,dense,1.973863546666786e-08,0.0033386116425724818,-7.368717079090134,52725.28922660709,998,1056.3468338113535,3.0695236857344895e-11,8.432129560743271e-06,0.8712051415282506,3,0.201,0.0,0.00041968159728536926,-7.357605869231673,1957.044858556368,1.0,cube,"2,3,10,12,19,20,27,29",cap1000_cut1e-6
1000,8,1e-06,dense,9.9919280679627e-06,0.0024526874030639636,-7.099092146373997,1456.344494797523,997,1334.0640678782593,3.1586572767166387e-12,1.584878424800892e-05,0.47537491908280305,2,0.206,0.0,0.0006159853107365989,-7.096293371221485,1358.1791721741306,1.0,cube,"2,3,7,12,18,21,22,26",cap1000_cut1e-6
1000,8,1e-06,dense,1.4154123572460717e-08,0.002757226212043636,-7.189710792303869,72330.51547679202,998,1377.6696719681474,1.3423138580626858e-11,8.953638132361257e-06,0.35430599107550026,2,0.206,0.0,0.0005433510733704269,-7.177774293968185,1527.1335434170865,1.0,cube,"5,7,10,12,19,26,27,28",cap1000_cut1e-6
1000,12,1e-06,dense,6.885539945554007e-05,0.003382502092718524,-7.391556999746614,2062.448058450875,997,1596.8935041430814,3.420703275602461e-11,9.77634002298383e-06,0.8628485110350034,2,0.202,0.0,0.0003988523221193927,-7.390103485970918,2050.005928283074,1.0,cube,"4,7,9,11,12,16,17,19,20,21,27,29",cap1000_cut1e-6
1000,12,1e-06,dense,2.3598306065185596e-08,0.0025873683762233546,-7.1070507745595854,43817.75028026645,998,2288.866350081168,1.559360984398342e-10,1.787878303736842e-05,0.6645569598021508,4,0.2,0.0,0.0006316582862827003,-7.095966299802463,1349.0619677605107,1.0,cube,"3,5,10,11,14,16,19,21,22,28,29,30",cap1000_cut1e-6
1000,12,1e-06,dense,6.407389365396137e-08,0.002573505604697478,-7.118185991098891,17023.41153605816,998,1977.140650266985,1.3764676142337021e-10,1.0663598774297874e-05,0.7606064335013848,2,0.197,0.0,0.0006158593312353549,-7.108181428559523,1375.1412084588571,1.0,cube,"0,4,6,9,12,15,16,17,20,22,26,30",cap1000_cut1e-6
1000,12,1e-06,dense,2.5478837771424704e-07,0.0022273051033345867,-7.0510429883362695,5186.23398662152,998,2703.4810361027385,2.454804245660168e-10,2.871553439215487e-05,0.8983266434689301,2,0.206,0.0,0.0006854939463047232,-7.043104328711366,1249.8270554824103,1.0,cube,"0,1,8,9,14,16,22,24,26,28,30,31",cap1000_cut1e-6
1000,12,1e-06,dense,8.578044897617981e-05,0.0023877235107518566,-7.076899026676649,1325.0089668623468,997,2504.8784057640714,5.872262442413557e-11,1.1749961317841662e-05,1.5297802211415836,4,0.216,0.0,0.0006425971438497039,-7.07655181903712,1315.8848802928098,1.0,cube,"3,6,8,11,13,18,20,23,25,26,27,30",cap1000_cut1e-6
1000,12,1e-06,dense,6.582319407822791e-08,0.0029595193926729925,-7.2538994402507475,16902.287490119576,998,1883.2371639057715,5.557136039368309e-10,3.7715912538168836e-05,1.192782279423231,2,0.207,0.0,0.0004907426005812407,-7.244701879262568,1679.7154813705934,1.0,cube,"4,6,8,10,12,15,19,20,23,25,26,29",cap1000_cut1e-6
1000,12,1e-06,dense,1.0777739379798116e-08,0.0027571061627174763,-7.154944765004667,94419.69672996739,998,2217.936368058455,5.558177658109399e-11,1.1693357458917636e-05,1.1008859174349341,3,0.204,0.0,0.0005828554998875957,-7.143531832541105,1446.4329777460955,1.0,cube,"4,5,10,11,13,19,20,23,26,27,28,30",cap1000_cut1e-6
1000,12,1e-06,dense,2.965255104098954e-08,0.0032734208446092163,-7.266942072533236,35485.51842535185,998,1500.8172941314633,1.1367608871338441e-10,9.788526574909162e-06,0.48973412183188797,3,0.181,0.0,0.0004981643450255204,-7.255626500046603,1684.469533978074,1.0,cube,"3,4,7,12,13,14,15,17,19,20,24,25",cap1000_cut1e-6
