scene,N,subset,final_loss,success,converged,grad_norm,tail_range,restart,iters,si_mae_A,ho_psnr
conf_cube_axis,8,"1,3,5,6,20,22,27,31",6.124244828242809e-05,0,0,0.00026083793866808514,nan,0,2400,0.0030815128702670336,17.71356303308445
conf_cube_axis,8,"1,4,5,6,14,17,21,22",6.065680645406246e-05,0,0,0.00026366277305488433,nan,0,2400,0.0031137249898165464,18.033036486820667
conf_cube_axis,8,"1,6,9,10,16,17,18,22",6.119458703324199e-05,0,0,0.00025893890391153596,nan,0,2400,0.0030572551768273115,17.484426707293327
conf_cube_axis,8,"1,6,15,16,23,24,26,30",6.012010635458864e-05,0,0,0.00025971955718233776,nan,0,2400,0.003091114107519388,17.32104150357317
conf_cube_axis,8,"2,6,20,21,22,24,27,28",5.512743518920615e-05,0,0,0.0002496690064605688,nan,0,2400,0.0031473056878894567,16.46115171636271
conf_cube_axis,8,"2,8,12,15,16,18,27,28",6.549325917148963e-05,0,0,0.00027102197581483863,nan,0,2400,0.0029969597235322,19.05169647554544
conf_cube_axis,8,"2,9,10,12,19,21,24,27",5.978134140605107e-05,0,0,0.00025663553794716653,nan,0,2400,0.0031003716867417097,17.18004447424026
conf_cube_axis,8,"3,4,8,9,11,22,25,31",6.348959868773818e-05,0,0,0.000263616630626274,nan,0,2400,0.003038679249584675,18.14278158105045
conf_cube_axis,8,"3,5,6,11,22,23,27,29",6.443261372623965e-05,0,0,0.00026564046720576435,nan,0,2400,0.0029863109812140465,18.340399952587976
conf_cube_axis,8,"3,7,8,16,22,24,25,26",6.976848089834675e-05,0,0,0.0002834008202062016,nan,0,2400,0.0028890478424727917,19.843225368823042
conf_cube_axis,8,"4,6,11,22,24,28,29,31",5.483817949425429e-05,0,0,0.00024081260029810408,nan,0,2400,0.003134397557005286,15.718606011426509
conf_cube_axis,8,"4,7,8,10,13,15,17,23",6.575771840289235e-05,0,0,0.000274376486671936,nan,0,2400,0.0029937096405774355,19.251670428304713
conf_cube_axis,8,"5,9,10,11,12,15,27,29",6.351605406962335e-05,0,0,0.000263494058691547,nan,0,2400,0.0030316838528960943,17.948072068465112
conf_cube_axis,8,"5,10,14,15,17,18,25,26",6.663098611170426e-05,0,0,0.00027006931721818575,nan,0,2400,0.002953530987724662,19.001020403905585
conf_cube_axis,8,"5,10,14,22,24,25,29,30",6.35792821412906e-05,0,0,0.00026656859137818195,nan,0,2400,0.003029124578461051,18.179690592646395
conf_cube_axis,8,"6,9,10,16,17,21,28,30",6.33483796264045e-05,0,0,0.0002659589031341746,nan,0,2400,0.0030531822703778744,18.15743415897576
conf_cube_axis,8,"7,8,10,13,25,26,27,29",7.04411868355237e-05,0,0,0.00028202175484288815,nan,0,2400,0.002889829222112894,20.487262283854765
conf_cube_axis,8,"7,9,12,14,15,17,23,24",4.542054739431478e-05,0,0,0.00021813589925990325,nan,0,2400,0.003408379852771759,13.905276861624216
conf_cube_axis,8,"7,10,12,13,15,16,23,24",6.612601282540709e-05,0,0,0.00027922649646657194,nan,0,2400,0.0029693995602428913,18.844473513857878
conf_cube_axis,8,"7,10,20,21,24,25,27,31",6.128668610472232e-05,0,0,0.00025907546421833835,nan,0,2400,0.0030869273468852043,17.511095435488315
conf_cube_axis,8,"8,11,13,14,15,17,21,30",6.833257793914527e-05,0,0,0.0002829095004847413,nan,0,2400,0.0029547035228461027,20.18387770947995
