P,N,cutoff,path,full_lam_min_pos_norm,full_lam_max_norm,full_logdet_pos_norm,full_a_opt_pos_norm,full_d_pos,full_trace,full_min_eig,full_gauge_residual,full_offdiag_max,rank_Fk_min,active_frac_min,boundary_frac_max,scene,subset
1000,3,1e-08,dense,1.5857194944196097e-08,0.003594413098276772,-7.694155829889228,188663.51761721956,990,637.9290216096086,-8.8131018135557e-14,4.612507383901585e-14,0.08735965807238327,9,0.694,0.0,conf_torus_R06_r035,"16,22,27"
1000,5,1e-08,dense,1.1717384062752562e-06,0.0024277366793560595,-7.163113327385578,4032.486793918201,999,973.9035469128064,-1.579436946326546e-13,7.634628784516161e-14,0.07811081626162289,9,0.497,0.0,conf_torus_R06_r035,"1,5,9,29,30"
1000,5,1e-08,dense,8.423172738954214e-07,0.0015881443488968924,-7.044576029423485,4419.911142778536,999,1700.786641669839,1.078933431280167e-13,7.722224830172766e-14,0.07118979472976031,9,0.663,0.0,conf_torus_R06_r035,"0,13,14,23,24"
1000,5,1e-08,dense,4.853929726364983e-07,0.0035391561686442734,-7.507866087749833,13003.160835389957,999,653.2366161400528,1.4308350674976027e-14,1.864893134437719e-14,0.0664562787370335,9,0.454,0.0,conf_torus_R06_r035,"1,4,7,28,29"
1000,5,1e-08,dense,2.1354667372976428e-07,0.0027414445180573236,-7.410739043655186,18534.381450487912,999,1310.8146365207092,1.6246973370564868e-13,5.574807732977396e-14,0.11027223254008531,9,0.72,0.0,conf_torus_R06_r035,"6,10,15,18,31"
1000,5,1e-08,dense,1.0439629350466277e-06,0.0032001117057740233,-7.322940298138428,6065.755220935413,999,894.8106047543249,-2.4016404658329486e-13,1.1509309248733094e-13,0.08530757932115016,9,0.444,0.0,conf_torus_R06_r035,"4,10,15,20,24"
1000,5,1e-08,dense,2.627184604993998e-07,0.002938302836285933,-7.47060939493811,18854.49521000564,999,1056.8854421200463,-8.368564742187951e-14,4.171022646588816e-14,0.09733863105558845,9,0.689,0.0,conf_torus_R06_r035,"7,18,20,22,26"
1000,5,1e-08,dense,7.582803589133269e-07,0.0027965329394740177,-7.305200975597569,6066.902509115457,999,924.2194462099167,2.683823215748893e-13,1.1564703892882162e-13,0.09212641245052638,9,0.489,0.0,conf_torus_R06_r035,"9,12,21,24,25"
1000,5,1e-08,dense,1.4212743325793358e-08,0.003929221741783791,-7.840832059051179,360598.5193405662,990,738.6141707269551,-2.3795195612003475e-14,2.1830652814350137e-14,0.09142932173632559,9,0.496,0.0,conf_torus_R06_r035,"2,9,22,28,31"
1000,5,1e-08,dense,3.5007718218636945e-07,0.003371161957172938,-7.514239884352699,15814.146664637079,999,754.264580299067,-1.0390690044492779e-13,6.619089414812267e-14,0.08232814363008406,9,0.498,0.0,conf_torus_R06_r035,"7,9,15,22,26"
1000,5,1e-08,dense,8.773556143248813e-07,0.0023315317309600763,-7.140873469388874,4693.477785691647,999,1127.8896076132187,-3.8478362348756323e-14,2.908906681774036e-14,0.0706306441543315,9,0.449,0.0,conf_torus_R06_r035,"4,8,20,26,30"
1000,5,1e-08,dense,4.849720073626795e-07,0.0032673429023475633,-7.42358396860707,10336.14391010712,999,844.0501656450299,9.057626082211185e-14,6.283651608568358e-14,0.10040266657786726,9,0.493,0.0,conf_torus_R06_r035,"9,16,20,27,28"
1000,5,1e-08,dense,9.050022774396987e-07,0.0019887159300840548,-7.094786143745558,3996.94971302554,999,1349.5957970654858,2.8386581280015477e-13,1.200847182125624e-13,0.07582856923891956,9,0.742,0.0,conf_torus_R06_r035,"8,18,19,20,27"
1000,5,1e-08,dense,4.84830306879218e-07,0.0028217948925434023,-7.407473543262034,11116.288046976913,999,1023.3686651699749,-2.0226517945966697e-13,7.88810032841529e-14,0.09947104946324753,9,0.495,0.0,conf_torus_R06_r035,"9,19,20,24,26"
