scene,N,subset,lambda_min_eff,logdet_eff,a_opt_eff,si_mae_A,ho_psnr
cube,12,"0,1,5,6,9,10,14,22,23,27,29,31",0.14398041240872717,1378.1050283145921,0.5495329777977954,0.0030382839031517506,22.167009685225437
cube,12,"1,4,5,11,12,13,14,15,17,21,25,28",0.3995558527149673,971.3782459139926,0.6776459854313712,0.003063939744606614,18.350014346429397
cube,12,"4,9,11,14,17,18,19,21,22,24,25,27",0.28293351257101185,-312.06332019657714,1.5022791455695534,0.0031272058840841055,16.623330064915372
cube,12,"0,1,9,14,16,19,22,24,27,28,29,31",0.6490076302514807,1062.7704264590811,0.6712483349253906,0.0030832376796752214,21.984466207274455
cube,12,"1,3,8,10,11,13,15,16,22,26,29,31",0.9567886140455759,1632.9514441127535,0.4707818870773076,0.0028543034568428993,19.83836319701936
cube,12,"0,1,4,7,8,13,15,17,20,23,24,28",0.8679054691123963,1652.3281947005198,0.4587364097906174,0.003044166835024953,22.384218204442426
cube,12,"0,4,5,7,11,18,19,21,22,24,27,31",0.7688802722024461,1700.154836741279,0.4552633900081038,0.0029457304626703262,23.132745458769385
cube,12,"1,5,6,7,8,9,17,19,20,23,26,29",0.25174949325175855,1001.6186481095887,0.6710278588030315,0.0030529506038874388,18.353191952902264
cube,12,"3,4,5,8,10,16,23,25,26,28,29,31",0.9529754108310916,1669.7996633436373,0.4686665643413109,0.0028621770907193422,19.660776379465847
cylinder,3,"10,28,29",0.0016885375884214049,-956.1318391514951,8.832698047266353,0.008916215039789677,19.098040133438715
cylinder,3,"8,11,18",0.0007209156247327816,159.95322199459852,11.466724933538835,0.0132210748270154,22.15538625531005
cylinder,3,"12,27,28",0.0038005415026132324,-2278.281578611515,16.30487339945334,0.0886068120598793,13.82757704929222
cylinder,3,"5,20,25",0.013880919436043972,-852.1398867836058,2.445822662549718,0.008304298855364323,21.031282522486787
cylinder,3,"17,21,25",0.019619947954368343,-955.4323541766182,3.07441808659491,0.008871006779372692,20.77274110326733
cylinder,3,"3,20,23",0.004037327213788329,-1494.7613153014133,5.457806529125125,0.011843988671898842,19.463407138910764
cylinder,3,"7,10,16",0.002159539754872473,-957.3173112207567,4.256669787620797,0.010569239966571331,19.852928928184006
cylinder,3,"5,8,16",0.06114175503440874,817.8607491766294,0.9319242198661011,0.013075491413474083,23.473863058794674
cylinder,3,"7,16,21",0.01093232755870119,-135.26534231074885,2.1858685617427422,0.012526371516287327,21.464320773238427
cylinder,3,"4,9,21",0.017831617694668657,-1156.9519595760926,3.2416750125258345,0.01053061243146658,20.20610389063881
cylinder,3,"0,19,21",0.13728232141827382,716.3922914135183,0.8267187133852074,0.015489885583519936,29.25586226579613
cylinder,3,"1,25,27",0.0007782710005652168,-3344.9780153125316,62.56373183923882,0.08658028393983841,13.619867081241646
cylinder,3,"3,8,12",0.01122864526703408,-278.6586696572676,2.0661313101535788,0.01120489090681076,22.085691567932805
cylinder,3,"0,6,13",0.16242602195176992,630.2167576421411,0.8461393032724455,0.010865996591746807,29.602759627384067
cylinder,3,"3,6,25",0.011509155036067486,-2056.9316731080708,3.906016068574068,0.006848576012998819,18.387799313636556
cylinder,3,"4,8,11",0.0010694444830155576,-494.05456783709235,4.264952121777971,0.009739416651427746,21.478140149257943
cylinder,3,"5,14,15",0.040867827075457996,-851.9633400737347,1.9487891508802104,0.008655417710542679,21.111423767530933
cylinder,3,"22,26,27",0.0022048523900432574,-1456.563420763293,10.504884775740749,0.009454933926463127,19.04987289156759
cylinder,3,"1,5,12",0.012961404568129284,-1221.3050426645264,2.7060562986195738,0.008565738797187805,20.72365370651488
cylinder,3,"2,5,8",0.05645120559524432,281.537965810416,1.1586869662915542,0.010460475459694862,22.8883886067675
cylinder,5,"8,11,17,24,30",0.05861364304585782,323.03400770949554,1.2014662528923548,0.007863498292863369,20.899341326018572
cylinder,5,"0,12,14,17,20",0.10013635924125913,-197.736583077302,1.2256484265352288,0.005500266794115305,28.62796678732836
cylinder,5,"4,18,21,24,29",0.01829413174490574,738.1727037885722,1.8542965095194544,0.00973688904196024,20.450045032229358
