scene,N,subset_id,subset_str,I_O,I_A
conf_icosphere_sub3,3,175,"0,7,18",-6.385225377551156,-6.385191001256566
conf_icosphere_sub3,3,176,"0,7,19",-6.308342023571897,-6.308373744152418
conf_icosphere_sub3,3,177,"0,7,20",-6.346245832248761,-6.3461223347740345
conf_icosphere_sub3,3,178,"0,7,21",-6.356721714730868,-6.356604956244492
conf_icosphere_sub3,3,179,"0,7,22",-6.308757403925661,-6.308668925820169
conf_icosphere_sub3,3,180,"0,7,23",-6.373002757536337,-6.37303450581431
conf_icosphere_sub3,3,181,"0,7,24",-6.329364238686293,-6.329435876950774
conf_icosphere_sub3,3,182,"0,7,25",-6.329647585007584,-6.329414093858112
conf_icosphere_sub3,3,183,"0,7,26",-6.368136622640232,-6.368056915432516
conf_icosphere_sub3,3,184,"0,7,27",-6.311551120002052,-6.311548297491759
conf_icosphere_sub3,3,185,"0,7,28",-6.353945778463262,-6.353990136370004
conf_icosphere_sub3,3,186,"0,7,29",-6.34494072818791,-6.344941509761424
conf_icosphere_sub3,3,187,"0,7,30",-6.319033199872959,-6.318883353771272
conf_icosphere_sub3,3,188,"0,7,31",-6.364158351729005,-6.364242156435051
conf_icosphere_sub3,3,189,"0,8,9",-6.389019129945624,-6.388651850029318
conf_icosphere_sub3,3,190,"0,8,10",-6.351115066813987,-6.350911395607401
conf_icosphere_sub3,3,191,"0,8,11",-6.413095229453722,-6.412933143785771
conf_icosphere_sub3,3,192,"0,8,12",-6.373863490272675,-6.373448343168208
conf_icosphere_sub3,3,193,"0,8,13",-6.4068944363111955,-6.40652168449664
conf_icosphere_sub3,3,194,"0,8,14",-6.384826298801265,-6.384061625389283
conf_icosphere_sub3,3,195,"0,8,15",-6.348770364209813,-6.348573000760746
conf_icosphere_sub3,3,196,"0,8,16",-6.431757367266426,-6.431339059493
conf_icosphere_sub3,3,197,"0,8,17",-6.377142873571911,-6.376807455723071
conf_icosphere_sub3,3,198,"0,8,18",-6.367261458496369,-6.366971161448464
conf_icosphere_sub3,3,199,"0,8,19",-6.397788672931128,-6.397622654686705
conf_icosphere_sub3,5,0,"18,21,24,25,30",-6.578316827073759,-6.578010923076654
conf_icosphere_sub3,5,1,"0,3,6,10,16",-6.336583003978267,-6.336394095984748
conf_icosphere_sub3,5,2,"19,20,22,28,31",-7.13033400588907,-7.1306833316772495
conf_icosphere_sub3,5,3,"6,13,15,16,30",-6.4375125507094815,-6.437178010825916
conf_icosphere_sub3,5,4,"0,1,7,16,30",-6.3428495653798365,-6.342599126317438
conf_icosphere_sub3,5,5,"1,8,10,12,23",-6.3953380945486495,-6.394986317412721
conf_icosphere_sub3,5,6,"6,11,16,27,28",-6.831168360898279,-6.8311119452785825
conf_icosphere_sub3,5,7,"4,9,10,11,18",-6.495302097289971,-6.495264570682998
conf_icosphere_sub3,5,8,"7,12,23,24,30",-6.907439683277281,-6.907933257338395
conf_icosphere_sub3,5,9,"0,14,20,26,31",-6.401442552785063,-6.4010885763815155
conf_icosphere_sub3,5,10,"3,7,8,21,22",-6.4426545607506664,-6.442517774729706
conf_icosphere_sub3,5,11,"1,7,21,28,29",-6.635153303935377,-6.634862171959256
conf_icosphere_sub3,5,12,"10,15,18,20,29",-6.688603678460783,-6.688477923854864
conf_icosphere_sub3,5,13,"10,22,26,27,30",-6.750901220675717,-6.750745408606208
conf_icosphere_sub3,5,14,"0,1,3,24,27",-6.435823400927107,-6.435640580720288
conf_icosphere_sub3,5,15,"0,16,18,19,24",-6.389969280542343,-6.389802601221253
conf_icosphere_sub3,5,16,"1,12,28,30,31",-7.279738519268514,-7.2794075136154905
conf_icosphere_sub3,5,17,"5,8,16,27,30",-6.37513129758321,-6.374805937180471
conf_icosphere_sub3,5,18,"4,18,19,21,25",-6.5397747769824575,-6.53952469792517
conf_icosphere_sub3,5,19,"6,10,11,21,29",-6.516185397841906,-6.516104901496292
conf_icosphere_sub3,5,20,"4,11,19,27,28",-7.145864904388718,-7.146160493691736
conf_icosphere_sub3,5,21,"4,6,10,11,18",-6.495807394359216,-6.495749723254826
conf_icosphere_sub3,5,22,"7,9,11,14,29",-6.823767552297395,-6.823723036990075
conf_icosphere_sub3,5,23,"9,12,23,24,27",-6.881472449880545,-6.8813037227422855
conf_icosphere_sub3,5,24,"9,13,21,22,30",-6.484536811758696,-6.48410757635494
conf_icosphere_sub3,5,25,"4,10,19,30,31",-6.740283154670277,-6.740156610542107
conf_icosphere_sub3,5,26,"4,14,17,18,29",-6.627219206132109,-6.62682074865785
conf_icosphere_sub3,5,27,"8,16,20,24,28",-6.519578637981036,-6.519458048700345
conf_icosphere_sub3,5,28,"4,8,10,21,31",-6.425688654025514,-6.425502420465509
conf_icosphere_sub3,5,29,"6,11,13,16,29",-6.518004413203073,-6.517752350381791
conf_icosphere_sub3,5,30,"1,5,6,8,9",-6.323882171781236,-6.32358320262529
conf_icosphere_sub3,5,31,"14,19,24,27,30",-7.431410666305026,-7.4309258267743745
conf_icosphere_sub3,5,32,"1,2,8,12,28",-6.3717700944593005,-6.371485262855757
conf_icosphere_sub3,5,33,"2,13,19,26,28",-6.499017547167733,-6.498966241477813
conf_icosphere_sub3,5,34,"11,13,21,22,23",-6.45929658993871,-6.4591548928157705
conf_icosphere_sub3,5,35,"11,17,23,29,30",-6.777625130186141,-6.777463077197625
conf_icosphere_sub3,5,36,"1,3,9,12,23",-6.493024191536732,-6.492746709702284
conf_icosphere_sub3,5,37,"7,8,10,20,31",-6.435949349631554,-6.435860217800499
conf_icosphere_sub3,5,38,"11,14,16,18,25",-6.526352698963905,-6.525961350203312
conf_icosphere_sub3,5,39,"3,5,6,15,29",-6.362845657273165,-6.362713689725303
conf_icosphere_sub3,5,40,"0,7,12,13,14",-6.333597593805335,-6.333219409631145
conf_icosphere_sub3,5,41,"8,9,13,20,25",-6.387176668399831,-6.386916145155045
conf_icosphere_sub3,5,42,"8,10,16,27,31",-6.4252400673843155,-6.425097029737676
conf_icosphere_sub3,5,43,"6,8,14,19,23",-6.464243631266673,-6.463916270806633
conf_icosphere_sub3,5,44,"14,19,21,22,23",-6.639591949007005,-6.639178257920452
conf_icosphere_sub3,5,45,"4,5,17,24,29",-6.442712540307101,-6.442582727956708
conf_icosphere_sub3,5,46,"2,11,19,24,25",-6.730524376825823,-6.730723955922144
conf_icosphere_sub3,5,47,"5,12,17,29,31",-6.50454479536954,-6.504323887492864
conf_icosphere_sub3,5,48,"6,12,22,29,30",-7.04348271524141,-7.043446274025175
conf_icosphere_sub3,5,49,"4,5,17,19,25",-6.414822832067834,-6.414662680813838
conf_icosphere_sub3,5,50,"7,9,16,19,23",-6.620306737702114,-6.620149769867913
conf_icosphere_sub3,5,51,"5,10,21,23,27",-6.488098235863021,-6.487943600633201
conf_icosphere_sub3,5,52,"6,11,20,22,25",-7.317004457931834,-7.316834187679128
conf_icosphere_sub3,5,53,"9,17,26,27,31",-6.837311372439614,-6.837127721828917
conf_icosphere_sub3,5,54,"2,5,17,19,31",-6.484385799038733,-6.484351099698349
conf_icosphere_sub3,5,55,"2,3,10,16,29",-6.425829151846095,-6.425774213064336
conf_icosphere_sub3,5,56,"6,17,19,29,30",-7.084141028804507,-7.084068831239493
conf_icosphere_sub3,5,57,"0,6,21,24,26",-6.407431601070899,-6.407209505947981
conf_icosphere_sub3,5,58,"1,2,13,16,18",-6.417555055181556,-6.417224254737231
conf_icosphere_sub3,5,59,"3,8,12,21,25",-6.463615182371083,-6.463299995338539
conf_icosphere_sub3,5,60,"0,11,12,26,31",-6.375169042466074,-6.3750193823896435
conf_icosphere_sub3,5,61,"9,11,20,23,28",-6.833748518047933,-6.8337388566784005
conf_icosphere_sub3,5,62,"1,8,16,24,27",-6.612941434281615,-6.612531301174261
conf_icosphere_sub3,5,63,"16,19,21,26,30",-6.598814043113989,-6.598376893205344
conf_icosphere_sub3,5,64,"3,7,20,21,24",-6.544703057066707,-6.54466293234147
conf_icosphere_sub3,5,65,"0,13,18,25,31",-6.414899293059508,-6.4146854080143445
conf_icosphere_sub3,5,66,"5,12,25,26,28",-6.589258359670528,-6.588876708324637
conf_icosphere_sub3,5,67,"5,9,17,25,31",-6.585783482917544,-6.585689220642374
conf_icosphere_sub3,5,68,"15,19,27,29,31",-6.884255139880897,-6.884385058593463
conf_icosphere_sub3,5,69,"2,5,13,17,23",-6.514107328031803,-6.513843304410267
conf_icosphere_sub3,5,70,"1,4,7,14,21",-6.543292266009921,-6.54279852082916
conf_icosphere_sub3,5,71,"2,3,13,24,31",-6.4088808596981055,-6.408860720461543
conf_icosphere_sub3,5,72,"0,8,9,12,24",-6.3773408518844725,-6.377141321635678
conf_icosphere_sub3,5,73,"5,20,21,26,31",-6.520732457049557,-6.520442760709019
