scene,N,subset_id,subset_str,I_O,I_A
conf_cone_r04_d12,3,816,"1,18,26",-6.6535828693244845,-6.653515612933231
conf_cone_r04_d12,3,817,"1,18,27",-6.619796884786592,-6.619762176411517
conf_cone_r04_d12,3,818,"1,18,28",-6.676520430628813,-6.676642783943202
conf_cone_r04_d12,3,819,"1,18,29",-6.6486422677815895,-6.649022195047706
conf_cone_r04_d12,3,820,"1,18,30",-6.6541681083503486,-6.65390791376649
conf_cone_r04_d12,3,821,"1,18,31",-6.68320633261612,-6.683505164329757
conf_cone_r04_d12,3,822,"1,19,20",-8.260977774202269,-8.261423686756636
conf_cone_r04_d12,3,823,"1,19,21",-6.6857387799808405,-6.68596585798356
conf_cone_r04_d12,3,824,"1,19,22",-8.261928338242068,-8.261760732513562
conf_cone_r04_d12,3,825,"1,19,23",-7.084286765551273,-7.0847191294400185
conf_cone_r04_d12,3,826,"1,19,24",-7.317196645977189,-7.318016927029749
conf_cone_r04_d12,3,827,"1,19,25",-8.450568436804637,-8.450377472276664
conf_cone_r04_d12,3,828,"1,19,26",-6.830043069863504,-6.830242579168659
conf_cone_r04_d12,3,829,"1,19,27",-8.246949925170423,-8.246846262211497
conf_cone_r04_d12,3,830,"1,19,28",-7.732572774736581,-7.7333899048940635
conf_cone_r04_d12,3,831,"1,19,29",-7.08919420253597,-7.090077699031099
conf_cone_r04_d12,3,832,"1,19,30",-8.426670569981885,-8.426297955214189
conf_cone_r04_d12,3,833,"1,19,31",-7.164239705346792,-7.165160064074421
conf_cone_r04_d12,3,834,"1,20,21",-6.749106127355561,-6.749359089030253
conf_cone_r04_d12,3,835,"1,20,22",-8.411835656575603,-8.411695820754117
conf_cone_r04_d12,3,836,"1,20,23",-7.166358313658605,-7.166383106780494
conf_cone_r04_d12,3,837,"1,20,24",-7.502475539380198,-7.503226419326728
conf_cone_r04_d12,3,838,"1,20,25",-8.526302007666406,-8.526045597460378
conf_cone_r04_d12,3,839,"1,20,26",-6.89788125840588,-6.898052623218927
conf_cone_r04_d12,3,840,"1,20,27",-8.410585797155132,-8.410637328600759
conf_cone_r04_d12,3,841,"1,20,28",-7.866003815142938,-7.866668610939499
conf_cone_r04_d12,3,842,"1,20,29",-7.201698876602199,-7.202484635254073
conf_cone_r04_d12,3,843,"1,20,30",-8.512406481269842,-8.51204309964845
conf_cone_r04_d12,3,844,"1,20,31",-7.237538896770034,-7.237934514764264
conf_cone_r04_d12,3,845,"1,21,22",-6.663856831553353,-6.663815223294545
conf_cone_r04_d12,3,846,"1,21,23",-6.778352461701889,-6.778516003904576
conf_cone_r04_d12,3,847,"1,21,24",-6.727063872365131,-6.727359664844214
conf_cone_r04_d12,3,848,"1,21,25",-6.724435162105023,-6.7241503319696365
conf_cone_r04_d12,3,849,"1,21,26",-6.731031488556001,-6.7310903361083625
conf_cone_r04_d12,3,850,"1,21,27",-6.703653474564251,-6.703556343647975
conf_cone_r04_d12,3,851,"1,21,28",-6.798099464475574,-6.798369634206596
conf_cone_r04_d12,3,852,"1,21,29",-6.742316481338498,-6.74241503707577
conf_cone_r04_d12,3,853,"1,21,30",-6.719022112986283,-6.718620846686433
conf_cone_r04_d12,3,854,"1,21,31",-6.802843049347541,-6.803165659138853
conf_cone_r04_d12,3,855,"1,22,23",-7.088612840302003,-7.08872668210299
conf_cone_r04_d12,3,856,"1,22,24",-7.3372381260034345,-7.337516498677338
conf_cone_r04_d12,3,857,"1,22,25",-9.040260141283685,-9.039551014235393
conf_cone_r04_d12,3,858,"1,22,26",-6.807543032132519,-6.8074779887915
conf_cone_r04_d12,3,859,"1,22,27",-8.715603218089692,-8.715014232313228
conf_cone_r04_d12,3,860,"1,22,28",-7.759458206921659,-7.759676383573912
conf_cone_r04_d12,3,861,"1,22,29",-7.086769049211202,-7.087122609873026
conf_cone_r04_d12,3,862,"1,22,30",-8.902933014790227,-8.902218674865553
conf_cone_r04_d12,3,863,"1,22,31",-7.163579212922036,-7.1639674623313025
conf_cone_r04_d12,3,864,"1,23,24",-7.091616015661684,-7.092065511083211
conf_cone_r04_d12,3,865,"1,23,25",-7.184138202793133,-7.184044749090179
conf_cone_r04_d12,3,866,"1,23,26",-6.897735719963152,-6.897778495931567
conf_cone_r04_d12,3,867,"1,23,27",-7.144076758336834,-7.144345637172982
conf_cone_r04_d12,3,868,"1,23,28",-7.194406376752834,-7.194522599914689
conf_cone_r04_d12,3,869,"1,23,29",-7.059003661765866,-7.059317732441538
conf_cone_r04_d12,3,870,"1,23,30",-7.175363992992777,-7.175125682071789
conf_cone_r04_d12,3,871,"1,23,31",-7.086939943276992,-7.087015379360983
conf_cone_r04_d12,3,872,"1,24,25",-7.498271670020102,-7.49866255285643
conf_cone_r04_d12,3,873,"1,24,26",-6.862640755330145,-6.862887236330238
conf_cone_r04_d12,3,874,"1,24,27",-7.4186682980490755,-7.419150879132169
conf_cone_r04_d12,3,875,"1,24,28",-7.493427621039502,-7.494283158263591
conf_cone_r04_d12,3,876,"1,24,29",-7.110673475856354,-7.11157364294987
conf_cone_r04_d12,3,877,"1,24,30",-7.485483927748056,-7.485682889806323
conf_cone_r04_d12,3,878,"1,24,31",-7.167100285461445,-7.168078613631736
conf_cone_r04_d12,3,879,"1,25,26",-6.873364902309558,-6.872995093673734
conf_cone_r04_d12,3,880,"1,25,27",-8.851090434733038,-8.850424236686006
conf_cone_r04_d12,3,881,"1,25,28",-7.859654327626545,-7.859751618118683
conf_cone_r04_d12,3,882,"1,25,29",-7.195155784446242,-7.195460595748749
conf_cone_r04_d12,3,883,"1,25,30",-8.970219233697394,-8.969475965044804
conf_cone_r04_d12,3,884,"1,25,31",-7.25692639278864,-7.257254255963185
conf_cone_r04_d12,3,885,"1,26,27",-6.850595906212026,-6.8505183644190275
conf_cone_r04_d12,3,886,"1,26,28",-6.940319950442263,-6.9173209559694815
conf_cone_r04_d12,3,887,"1,26,29",-6.864847438096161,-6.864835010959035
conf_cone_r04_d12,3,888,"1,26,30",-6.867492254977027,-6.867021896372468
conf_cone_r04_d12,3,889,"1,26,31",-6.901218812135028,-6.901197433827856
conf_cone_r04_d12,3,890,"1,27,28",-7.816096032803081,-7.816465083667969
conf_cone_r04_d12,3,891,"1,27,29",-7.153266326522232,-7.153816789629865
conf_cone_r04_d12,3,892,"1,27,30",-8.822508689531755,-8.82179433292598
conf_cone_r04_d12,3,893,"1,27,31",-7.220941970540096,-7.221616408334109
conf_cone_r04_d12,3,894,"1,28,29",-7.24087305503933,-7.241708742116332
conf_cone_r04_d12,3,895,"1,28,30",-7.8659260153937565,-7.865916976353972
conf_cone_r04_d12,3,896,"1,28,31",-7.263341902728301,-7.263777158349678
conf_cone_r04_d12,3,897,"1,29,30",-7.1856944298799785,-7.185801963769485
conf_cone_r04_d12,3,898,"1,29,31",-7.119601308880084,-7.12051278446079
conf_cone_r04_d12,3,899,"1,30,31",-7.247519250913768,-7.247645699343687
conf_cone_r04_d12,3,900,"2,3,4",-6.471612297597464,-6.471829131286628
conf_cone_r04_d12,3,901,"2,3,5",-6.358728818374612,-6.359345985306491
conf_cone_r04_d12,3,902,"2,3,6",-6.44832041943835,-6.448792917190006
conf_cone_r04_d12,3,903,"2,3,7",-6.55505846224228,-6.555556627919779
conf_cone_r04_d12,3,904,"2,3,8",-6.405472656097845,-6.4059685668180535
conf_cone_r04_d12,3,905,"2,3,9",-6.4626614248267416,-6.462984916677607
conf_cone_r04_d12,3,906,"2,3,10",-6.492048260705109,-6.492425042514309
conf_cone_r04_d12,3,907,"2,3,11",-6.497306861163134,-6.497977633277634
conf_cone_r04_d12,3,908,"2,3,12",-6.515992257093675,-6.516316420996536
conf_cone_r04_d12,3,909,"2,3,13",-6.430193046437084,-6.43062450153292
conf_cone_r04_d12,3,910,"2,3,14",-6.4820802514859786,-6.482417218224215
conf_cone_r04_d12,3,911,"2,3,15",-6.624151678495795,-6.624746786434932
conf_cone_r04_d12,3,912,"2,3,16",-6.528677304292731,-6.529247414207453
conf_cone_r04_d12,3,913,"2,3,17",-6.516431322743696,-6.516659825352466
conf_cone_r04_d12,3,914,"2,3,18",-6.54170301436773,-6.542035623588477
conf_cone_r04_d12,3,915,"2,3,19",-6.518947587619634,-6.519487553139967
conf_cone_r04_d12,3,916,"2,3,20",-6.600331022725804,-6.600756790260055
conf_cone_r04_d12,3,917,"2,3,21",-6.548957585316416,-6.549293432909434
conf_cone_r04_d12,3,918,"2,3,22",-6.522793314349612,-6.52306582279237
conf_cone_r04_d12,3,919,"2,3,23",-6.653892777114017,-6.65448384937095
conf_cone_r04_d12,3,920,"2,3,24",-6.571756413304448,-6.572474518061888
conf_cone_r04_d12,3,921,"2,3,25",-6.5957736878019615,-6.595770867904869
conf_cone_r04_d12,3,922,"2,3,26",-6.606915828474561,-6.6072924938394575
conf_cone_r04_d12,3,923,"2,3,27",-6.556157890672241,-6.556526096614688
conf_cone_r04_d12,3,924,"2,3,28",-6.655942841142071,-6.656490687028801
conf_cone_r04_d12,3,925,"2,3,29",-6.619261481483616,-6.619991699067485
