scene,N,arm,subset_id,subset_str,reconstruction_error,success
conf_cyl_plus_sphere,3,random,358,"0,16,30",0.0004031286225654185,0
conf_cyl_plus_sphere,3,random,167,"0,7,10",0.00044870778219774365,0
conf_cyl_plus_sphere,3,random,96,"0,4,14",0.0003938867594115436,0
conf_cyl_plus_sphere,3,random,410,"0,21,22",0.0003489077207632363,0
conf_cyl_plus_sphere,3,random,183,"0,7,26",0.00034342892467975616,0
conf_cyl_plus_sphere,3,random,24,"0,1,26",0.0003649967547971755,0
conf_cyl_plus_sphere,3,random,361,"0,17,19",0.0004954758333042264,0
conf_cyl_plus_sphere,3,random,11,"0,1,13",0.00039479965926148,0
conf_cyl_plus_sphere,3,random,498,"1,3,8",0.0005680635804310441,0
conf_cyl_plus_sphere,3,random,257,"0,11,14",0.0007188100134953856,0
conf_cyl_plus_sphere,3,random,347,"0,16,19",0.0005969136254861951,0
conf_cyl_plus_sphere,3,random,216,"0,9,14",0.00040279171662405133,0
conf_cyl_plus_sphere,3,random,400,"0,20,22",0.000352180766640231,0
conf_cyl_plus_sphere,3,random,318,"0,14,21",0.0004541091329883784,0
conf_cyl_plus_sphere,3,random,326,"0,14,29",0.00044259673450142145,0
conf_cyl_plus_sphere,3,random,467,"1,2,5",0.000509468256495893,0
conf_cyl_plus_sphere,3,random,484,"1,2,22",0.00041933299507945776,0
conf_cyl_plus_sphere,3,random,180,"0,7,23",0.00038080516969785094,0
conf_cyl_plus_sphere,3,random,330,"0,15,17",0.0003533847047947347,0
conf_cyl_plus_sphere,3,random,126,"0,5,18",0.00039338527130894363,0
conf_cyl_plus_sphere,3,random,308,"0,13,28",0.00036235747393220663,0
conf_cyl_plus_sphere,3,random,168,"0,7,11",0.0006857631378807127,0
conf_cyl_plus_sphere,3,random,245,"0,10,22",0.0004649976617656648,0
conf_cyl_plus_sphere,3,random,166,"0,7,9",0.0003148476534988731,0
conf_cyl_plus_sphere,3,random,101,"0,4,19",0.0004891002317890525,0
conf_cyl_plus_sphere,3,random,323,"0,14,26",0.00045719603076577187,0
conf_cyl_plus_sphere,3,random,304,"0,13,24",0.00046851678052917123,0
conf_cyl_plus_sphere,3,random,189,"0,8,9",0.0003349815378896892,0
conf_cyl_plus_sphere,3,random,319,"0,14,22",0.00044311213423497975,0
conf_cyl_plus_sphere,3,random,161,"0,6,28",0.0006270925514400005,0
conf_cyl_plus_sphere,3,random,218,"0,9,16",0.0003939196467399597,0
conf_cyl_plus_sphere,3,random,488,"1,2,26",0.0004305630864109844,0
conf_cyl_plus_sphere,3,random,486,"1,2,24",0.0004931277362629771,0
conf_cyl_plus_sphere,3,random,88,"0,4,6",0.0005427860887721181,0
conf_cyl_plus_sphere,3,random,309,"0,13,29",0.00033783953404054046,0
conf_cyl_plus_sphere,3,random,335,"0,15,22",0.00041840446647256613,0
conf_cyl_plus_sphere,3,random,395,"0,19,28",0.0005755613674409688,0
conf_cyl_plus_sphere,3,random,177,"0,7,20",0.00035063206451013684,0
conf_cyl_plus_sphere,3,random,53,"0,2,26",0.00045630213571712375,0
conf_cyl_plus_sphere,3,random,145,"0,6,12",0.0005747327813878655,0
conf_cyl_plus_sphere,3,random,184,"0,7,27",0.0004172447370365262,0
conf_cylinder_r03_d12,3,proxy_top,18,"0,1,20",0.00011706787336152047,0
conf_cylinder_r03_d12,3,proxy_top,330,"0,15,17",0.00011428029392845929,0
conf_cylinder_r03_d12,3,proxy_top,158,"0,6,25",0.00012677459744736552,0
conf_cylinder_r03_d12,3,proxy_top,182,"0,7,25",0.0001252178626600653,0
conf_cylinder_r03_d12,3,proxy_top,12,"0,1,14",0.00010831528925336897,0
conf_cylinder_r03_d12,3,proxy_top,52,"0,2,25",0.00012574873107951134,0
conf_cylinder_r03_d12,3,proxy_top,23,"0,1,25",0.0001215371594298631,0
conf_cylinder_r03_d12,3,proxy_top,224,"0,9,22",0.0001195132645079866,0
conf_cylinder_r03_d12,3,proxy_top,362,"0,17,20",0.00012502151366788894,0
conf_cylinder_r03_d12,3,proxy_top,277,"0,12,15",0.00011033344344468787,0
conf_cylinder_r03_d12,3,proxy_top,284,"0,12,22",0.00012367541785351932,0
conf_cylinder_r03_d12,3,proxy_top,282,"0,12,20",0.00012207278632558882,0
conf_cylinder_r03_d12,3,proxy_top,364,"0,17,22",0.0001275615650229156,0
conf_cylinder_r03_d12,3,proxy_top,314,"0,14,17",0.0001168296075775288,0
conf_cylinder_r03_d12,3,proxy_top,222,"0,9,20",0.00011857014760607854,0
conf_cylinder_r03_d12,3,proxy_top,361,"0,17,19",0.00011567580804694444,0
conf_cylinder_r03_d12,3,proxy_top,281,"0,12,19",0.00011265031935181469,0
conf_cylinder_r03_d12,3,proxy_top,221,"0,9,19",0.00010875547741306946,0
conf_cylinder_r03_d12,3,proxy_top,229,"0,9,27",0.00011985066521447152,0
conf_cylinder_r03_d12,3,proxy_top,217,"0,9,15",0.00010683742584660649,0
conf_cylinder_r03_d12,3,proxy_top,322,"0,14,25",0.00013109142309986055,0
conf_cylinder_r03_d12,3,proxy_top,150,"0,6,17",0.00011131857172586024,0
conf_cylinder_r03_d12,3,proxy_top,289,"0,12,27",0.00012404515291564167,0
conf_cylinder_r03_d12,3,proxy_top,260,"0,11,17",0.00011958883260376751,0
