scene,N,subset_str,I_O,I_A,diff,abs_diff,status_O,status_A,d_extra_null_O,d_extra_null_A,n_at_cutoff_O,n_at_cutoff_A
conf_sphere_r05,3,"6,11,20",-7.133063930902984,-7.109621468239382,-0.023442462663601837,0.023442462663601837,full,deficient,0,1,9,8
conf_sphere_r05,3,"6,11,28",-7.011397293033302,-6.988380468109033,-0.023016824924269486,0.023016824924269486,full,deficient,0,1,6,5
conf_sphere_r05,3,"6,12,19",-7.5358091905214515,-7.512098601227291,-0.023710589294160478,0.023710589294160478,deficient,deficient,2,3,16,15
conf_sphere_r05,3,"6,12,27",-7.6134971932387305,-7.589819930792307,-0.023677262446423875,0.023677262446423875,deficient,deficient,2,3,18,17
conf_sphere_r05,3,"6,12,29",-6.878120350271376,-6.854449989162432,-0.023670361108944604,0.023670361108944604,full,deficient,0,1,3,2
conf_sphere_r05,3,"6,14,17",-7.900133371402472,-7.898953017326476,-0.0011803540759958153,0.0011803540759958153,deficient,deficient,3,3,18,18
conf_sphere_r05,3,"6,14,27",-7.701087324017336,-7.724879201899024,0.02379187788168835,0.02379187788168835,deficient,deficient,2,1,16,17
conf_sphere_r05,3,"6,17,19",-7.702406760779582,-7.678554436922714,-0.023852323856868196,0.023852323856868196,deficient,deficient,3,4,16,15
conf_sphere_r05,3,"6,17,20",-7.587113948791908,-7.562474100421392,-0.024639848370515693,0.024639848370515693,deficient,deficient,3,4,20,19
conf_sphere_r05,3,"6,17,22",-7.792485285949416,-7.791469066487738,-0.0010162194616780695,0.0010162194616780695,deficient,deficient,4,4,17,17
conf_sphere_r05,3,"6,17,25",-7.745039573284804,-7.720391647662743,-0.02464792562206064,0.02464792562206064,deficient,deficient,3,4,20,18
conf_sphere_r05,3,"6,17,27",-7.746373544025204,-7.72221581452959,-0.0241577294956139,0.0241577294956139,deficient,deficient,4,5,16,15
conf_sphere_r05,3,"6,17,30",-7.680063516926004,-7.678937428789809,-0.0011260881361945252,0.0011260881361945252,deficient,deficient,5,5,17,17
