23:12:59 [ok] phys=2.84GB pf=7.08GB temp=77°C
23:13:02 [ok] phys=2.81GB pf=7.04GB temp=77°C
23:13:06 [ok] phys=2.83GB pf=7.06GB temp=78°C
23:13:09 [ok] phys=2.84GB pf=7.05GB temp=77°C
23:13:12 [ok] phys=2.83GB pf=7.05GB temp=77°C
23:13:15 [ok] phys=2.82GB pf=7.05GB temp=77°C
23:13:18 [ok] phys=2.82GB pf=7.05GB temp=77°C
23:13:21 [ok] phys=2.93GB pf=7.17GB temp=77°C
23:13:24 [ok] phys=2.92GB pf=7.17GB temp=77°C
23:13:27 [ok] phys=2.87GB pf=7.11GB temp=79°C
23:13:30 [ok] phys=3.02GB pf=7.29GB temp=77°C
23:13:33 [ok] phys=3.02GB pf=7.29GB temp=77°C
23:13:36 [ok] phys=3.03GB pf=7.30GB temp=77°C
23:13:39 [ok] phys=3.03GB pf=7.31GB temp=78°C
23:13:42 [ok] phys=3.03GB pf=7.31GB temp=77°C
23:13:45 [ok] phys=3.05GB pf=7.33GB temp=77°C
23:13:48 [ok] phys=3.05GB pf=7.32GB temp=79°C
23:13:51 [ok] phys=3.05GB pf=7.33GB temp=77°C
23:13:54 [ok] phys=3.06GB pf=7.34GB temp=77°C
23:13:57 [ok] phys=3.06GB pf=7.34GB temp=77°C
23:14:00 [ok] phys=3.06GB pf=7.33GB temp=79°C
23:14:03 [ok] phys=3.06GB pf=7.34GB temp=77°C
23:14:06 [ok] phys=3.06GB pf=7.33GB temp=77°C
23:14:10 [ok] phys=3.05GB pf=7.33GB temp=77°C
23:14:13 [ok] phys=3.05GB pf=7.32GB temp=78°C
23:14:16 [ok] phys=3.05GB pf=7.33GB temp=77°C
23:14:19 [ok] phys=3.05GB pf=7.33GB temp=77°C
23:14:22 [ok] phys=3.04GB pf=7.32GB temp=79°C
23:14:25 [ok] phys=3.04GB pf=7.32GB temp=77°C
23:14:28 [ok] phys=3.04GB pf=7.32GB temp=77°C
23:14:31 [ok] phys=3.03GB pf=7.32GB temp=77°C
23:14:34 [ok] phys=3.02GB pf=7.31GB temp=79°C
23:14:37 [ok] phys=3.05GB pf=7.33GB temp=77°C
23:14:40 [ok] phys=3.06GB pf=7.34GB temp=77°C
23:14:43 [ok] phys=3.06GB pf=7.34GB temp=77°C
23:14:46 [ok] phys=3.05GB pf=7.34GB temp=78°C
23:14:49 [ok] phys=3.06GB pf=7.34GB temp=77°C
23:14:52 [ok] phys=3.06GB pf=7.34GB temp=77°C
23:14:55 [ok] phys=3.04GB pf=7.31GB temp=79°C
23:14:58 [ok] phys=3.05GB pf=7.32GB temp=77°C
23:15:01 [ok] phys=3.05GB pf=7.31GB temp=77°C
