scene,light,mae_lin,mse_lin,psnr_lin,res_mean_lin,res_std_lin,mae_train_target,psnr_train_target,mae_train_domain,psnr_train_domain,mae_point_direct,psnr_point_direct
29dfbc6436484061ba94690407c5f8fd,5,0.2793867588043213,0.07972953468561172,10.983807705116957,-0.2793867588043213,0.04089703783392906,0.7004157900810242,3.078949288944175,0.4397623836994171,7.017564172109676,0.41080920016514466,7.698739923386684
2a37df8f84254af1aa4fca1efdbc4fe7,1,0.23185744881629944,0.07391528785228729,11.31265727461377,-0.18962925672531128,0.19482307136058807,0.6646432280540466,3.2328786731618853,0.5794991254806519,3.769526498399695,0.1404023977450568,15.556717654949438
2a37df8f84254af1aa4fca1efdbc4fe7,2,0.23423142731189728,0.07445403188467026,11.28111779068934,-0.18858447670936584,0.19720527529716492,0.6635974645614624,3.235392957383643,0.57970130443573,3.767435429460017,0.1739663969738235,13.466126648331171
2a37df8f84254af1aa4fca1efdbc4fe7,3,0.23480528593063354,0.07456449419260025,11.274679238270144,-0.18594001233577728,0.19997702538967133,0.6609542965888977,3.2582615635544885,0.5758292078971863,3.78791101148039,0.1296301168440285,15.56003297883392
2a37df8f84254af1aa4fca1efdbc4fe7,4,0.21537157893180847,0.06360647827386856,11.964986495196186,-0.16737860441207886,0.18865543603897095,0.6423913240432739,3.530657712553899,0.4474216401576996,6.1257091724278165,0.2376436188770113,11.422640955789225
2a37df8f84254af1aa4fca1efdbc4fe7,5,0.16029424965381622,0.03557634726166725,14.488386443784997,-0.1109120100736618,0.1525610387325287,0.5859276056289673,4.403206253558783,0.33029335737228394,8.92729343726251,0.245455278446133,11.17621362255958
2b59a3b183004c3c860337ceb41750c8,1,0.2563318908214569,0.07768572121858597,11.096587980052277,-0.25458627939224243,0.11345282196998596,0.7403002381324768,2.5588041191600746,0.7187808752059937,2.7183595566637795,0.15841156044365914,14.08516609457331
2b59a3b183004c3c860337ceb41750c8,2,0.25643545389175415,0.07763829082250595,11.099240340065597,-0.2547939121723175,0.11277564615011215,0.7405082583427429,2.557342507027002,0.7191676497459412,2.7166138984046513,0.11851965508870692,14.581936489197053
2b59a3b183004c3c860337ceb41750c8,3,0.2565520703792572,0.07772455364465714,11.094417633371217,-0.2549033761024475,0.11291065067052841,0.7406126260757446,2.5562115298033334,0.7190165519714355,2.7168016427727295,0.072968021965519,18.639859161841276
2b59a3b183004c3c860337ceb41750c8,4,0.23875465989112854,0.06773220747709274,11.692047699643222,-0.23714779317378998,0.10720599442720413,0.7228606939315796,2.771528180819346,0.572026252746582,4.722561460730613,0.21245602058588756,12.237463049025726
