probe,scene,N,g0,g1,g2,g3,g4,g_min_over_max
A,2d82e08ea31549a99aa03ac6511613c6,5,0.0007749255164526403,0.0007749141077511013,0.0007749266223981977,0.0007749103242531419,0.0007749148062430322,0.9999789681440995
A,2dfa3a4d58a442bb9abbf1f7beb2e5e6,5,0.0009330204920843244,0.0009330205502919853,0.0009330204920843244,0.0009330207831226289,0.0009330205502919853,0.999999688068787
A,2f761f9165384a0e8f51abafd1247e35,5,0.0007885919767431915,0.0007885903469286859,0.0007885938393883407,0.000788597040809691,0.0007885922095738351,0.9999915116584788
A,2fd7a41706254e6cb2c24467a5ca0370,5,0.0007516983896493912,0.0007516905898228288,0.0007516854093410075,0.0007516818004660308,0.0007516765035688877,0.9999708844919654
A,3050967715914e7791ae4a1d47551822,5,0.0008195079280994833,0.0008195074624381959,0.0008195074624381959,0.0008195076370611787,0.0008195074624381959,0.9999994317793991
A,308472c7daa94a4fbb44be3a345a879a,5,0.0007959235808812082,0.0007959234644658864,0.0007959235808812082,0.0007959236390888691,0.0007959235808812082,0.9999997806033466
A,3098fe550c534448adf2e2844e06950d,5,0.0007591828471049666,0.0007591829053126276,0.0007591829635202885,0.0007591828471049666,0.0007591829053126276,0.999999846657094
A,31260ec93c914a0ea7835850db66e445,5,0.0008514332585036755,0.0008514332002960145,0.0008514329674653709,0.0008514329674653709,0.0008514337241649628,0.9999991112642471
A,319376f14ac644759cc5f8fae239d6be,5,0.0007842760533094406,0.0007842760533094406,0.0007842761697247624,0.0007842763443477452,0.0007842761697247624,0.999999628908475
A,31aa0fb227cb47b1897084a9d23aa10f,5,0.0007496257312595844,0.0007496257894672453,0.0007496256730519235,0.0007496257312595844,0.0007496257312595844,0.9999998447020854
A,322dc0a758414cd2932ad3bd3d78c678,5,0.0007998814107850194,0.0007998812361620367,0.0007998812943696976,0.0007998818764463067,0.0007998818764463067,0.999999199526469
A,3338cda4fe694bc8869b7c587c078246,5,0.0007825710927136242,0.0007825482753105462,0.0007824923959560692,0.0007823863998055458,0.0007822660845704377,0.9996102486457442
