probe,scene,N,si_mae_A,depth_l1,normal_mae,sh_err
A,06dd0877eb584e569d1bc9070e42baa2,5,0.08150698989629745,0.24580809473991394,5.346805572509766,1.846821904182434
A,07a81928f67f4aa2ad0d59a057ae374e,1,0.10476523637771606,0.7452300786972046,15.721046447753906,0.8222962617874146
A,07a81928f67f4aa2ad0d59a057ae374e,2,0.10476498305797577,0.7452335953712463,15.721086502075195,1.1656599044799805
A,07a81928f67f4aa2ad0d59a057ae374e,3,0.10476507246494293,0.7452317476272583,15.721053123474121,1.4265022277832031
A,07a81928f67f4aa2ad0d59a057ae374e,5,0.10476516932249069,0.7452300190925598,15.721037864685059,1.8464288711547852
A,07c2642631f947a5ac799dddeea39eb9,1,0.046602025628089905,0.16710686683654785,7.265125751495361,0.8220170736312866
A,07c2642631f947a5ac799dddeea39eb9,2,0.046601951122283936,0.16710549592971802,7.2651286125183105,1.1657496690750122
A,07c2642631f947a5ac799dddeea39eb9,3,0.04660210758447647,0.16710543632507324,7.265118598937988,1.4264171123504639
A,07c2642631f947a5ac799dddeea39eb9,5,0.04660198092460632,0.16710764169692993,7.265162944793701,1.846519112586975
A,086be698bca14d7791d9032884909954,1,0.0762125551700592,0.30127400159835815,4.3110833168029785,0.8216134309768677
A,086be698bca14d7791d9032884909954,2,0.07621245086193085,0.3012739419937134,4.311093330383301,1.165879487991333
A,086be698bca14d7791d9032884909954,3,0.07621246576309204,0.3012739419937134,4.311091423034668,1.4262813329696655
A,086be698bca14d7791d9032884909954,5,0.0762125551700592,0.3012740910053253,4.311089038848877,1.8466383218765259
A,087ca366dee64594bba4189b31dd7a45,1,0.0271433275192976,0.14255955815315247,9.89618968963623,0.8223475217819214
A,087ca366dee64594bba4189b31dd7a45,2,0.02714337222278118,0.14256060123443604,9.896211624145508,1.1656439304351807
A,087ca366dee64594bba4189b31dd7a45,3,0.02714335173368454,0.14256350696086884,9.896256446838379,1.4265198707580566
A,087ca366dee64594bba4189b31dd7a45,5,0.027143411338329315,0.1425619125366211,9.896236419677734,1.846414566040039
A,08aab5b01d384e0082c56c17fc9f2245,1,0.0001469161215936765,0.2279760241508484,6.369072914123535,0.8206532597541809
A,08aab5b01d384e0082c56c17fc9f2245,2,0.0001469161215936765,0.22797609865665436,6.3690667152404785,1.1661854982376099
A,08aab5b01d384e0082c56c17fc9f2245,3,0.0001469161215936765,0.22797593474388123,6.369070529937744,1.4260278940200806
A,08aab5b01d384e0082c56c17fc9f2245,5,0.00014691615069750696,0.2279762327671051,6.369056701660156,1.8469812870025635
A,08bc3a0eec7042389949e2c5ad9bf700,1,0.025461535900831223,0.3217068314552307,4.491909980773926,0.8205764889717102
A,08bc3a0eec7042389949e2c5ad9bf700,2,0.025461575016379356,0.3217063248157501,4.491909027099609,1.1662102937698364
A,08bc3a0eec7042389949e2c5ad9bf700,3,0.02546156570315361,0.321706086397171,4.491909027099609,1.425981044769287
A,08bc3a0eec7042389949e2c5ad9bf700,5,0.025461604818701744,0.32170695066452026,4.491924285888672,1.8469820022583008
A,099450527f614a3e81baf1fe4fe087ab,1,0.05979989469051361,0.24517151713371277,8.167598724365234,0.8218543529510498
