scene,N,subset,P,pixel_seed,cutoff,trace,eig_norm_q0,eig_norm_q0.1,eig_norm_q0.5,eig_norm_q1,eig_norm_q2,eig_norm_q5,eig_norm_q10,eig_norm_q25,eig_norm_q50,eig_norm_q75,eig_norm_q90,eig_norm_q95,eig_norm_q99,eig_norm_q100,n_above_0e+00,n_above_1e-12,n_above_1e-10,n_above_1e-09,n_above_1e-08,n_above_1e-07,n_above_1e-06,n_above_1e-05,n_above_1e-04,n_negative,eig_raw_min,eig_raw_max,neg_mass_over_trace,logdet_pos_mean_log,eig_norm_geomean_pos,eff_rank_entropy,participation_ratio,cond_p1_p99,gauge_residual,rank_Fk_min,rank_Fk_max,rank_Fk_mean,Fk_eigmax_min,Fk_minpos_min,active_frac_min,active_frac_mean,boundary_frac_max,F_ss_diag_min,F_ss_diag_median,n_dead_pixels
conf_cone_r04_d12,3,"9,21,31",1000,1021142993,1e-08,943.8024716474421,-8.871572543517508e-13,1.606635130567924e-11,2.8010593333060494e-06,4.282623904801248e-06,7.858646504611984e-06,2.5591729572654022e-05,6.634208202400691e-05,0.0003709497013337304,0.0009964009441236047,0.0016552767183957617,0.0018403148762601432,0.0018675823350446567,0.001873658199978609,0.0018741985236044821,999,999,998,998,997,996,996,974,875,1,-8.373012093971409e-10,1.768873198935897,8.871572543517508e-13,-7.465380921133548,0.000572566929964862,760.6263060961011,693.4554474678205,437.5023914376538,2.0770542472313227e-06,8,8,8.0,215.4781620753164,2.341354791812836e-06,0.564,0.8463333333333334,0.0,0.0033721961403695945,0.9576043180781424,0
conf_cone_r04_d12,3,"4,13,17",1000,1032685027,1e-08,715.5560587390167,8.607843866190873e-13,2.6611213260648125e-11,1.6181188856763097e-06,3.4308958756692125e-05,4.8938769132743976e-05,0.00011300427519425633,0.00022300168963105115,0.0006825886629828764,0.001243116605504985,0.0013465691677851791,0.0013837792292283517,0.001387440202959415,0.0015206648779749264,0.0016552345057008462,1000,999,998,998,998,997,996,994,956,0,6.159394831132361e-10,1.184413079188122,0.0,-7.174366085158892,0.0007659711246918882,879.2472085274087,836.8766289893612,44.32267644025523,3.6674123683469956e-07,8,8,8.0,217.54613290015538,3.544072806980155e-06,0.534,0.7146666666666667,0.0,0.022730692252285342,0.8899000547623175,0
conf_cone_r04_d12,3,"9,27,28",1000,2098419871,1e-08,435.0470813237639,1.8655060921139016e-14,1.3414153312278762e-11,7.362570966655729e-07,2.8720290677109163e-06,2.9873285247046724e-06,3.60365809168249e-06,6.266334488941156e-06,3.563113802367579e-05,0.0005146150121790598,0.0016442377689858657,0.002984535776427011,0.003555710454548286,0.003962157155760106,0.0040623186549951056,1000,999,998,998,997,996,994,841,668,0,8.115829805658536e-12,1.7672998742626989,0.0,-8.36416805519485,0.00023307085423550852,514.8664162640958,425.2458266623007,1379.5672196723451,6.613544745344752e-06,7,8,7.333333333333333,233.421138787401,3.0600663710879367e-06,0.558,0.7416666666666667,0.0,0.0012411467674877787,0.22724388192724568,0
conf_cone_r04_d12,3,"4,13,16",1000,162866930,1e-08,916.7119959560482,3.5217009344039485e-13,3.0966819659276225e-11,2.42977362138013e-06,2.842963773226525e-05,5.710394651489969e-05,0.00012580143907298374,0.0002446107031125894,0.000727790342149444,0.00111979957303793,0.0014036897374620438,0.001482607159015811,0.0014875300871906188,0.0014910390421805876,0.0014923361293735459,1000,999,998,998,998,996,996,994,960,0,3.228385492737724e-10,1.3680424317953466,0.0,-7.165616892040127,0.0007727021565968168,881.5167253304529,835.1994301806384,52.446642346356164,4.644024483655333e-06,8,8,8.0,225.83641283221982,4.659378172431396e-06,0.513,0.836,0.0,0.02124828144811022,1.0265337016703302,0
conf_cone_r04_d12,3,"6,16,23",1000,1149834700,1e-08,660.5130050676875,-1.2283330335836329e-18,-1.7292721577406404e-19,1.01253435664731e-09,1.0802701280831398e-07,8.210750019276324e-07,1.5820745978593822e-05,5.793698646623814e-05,0.00031713625322334874,0.0009414700122352892,0.0016484232879087506,0.001903246685211001,0.0019506392977138472,0.001961697975215368,0.001962680134011782,998,996,995,995,993,990,978,958,865,2,-8.11329943236234e-16,1.2963757533027738,1.4002037870776073e-18,-7.6266333448078925,0.0004872986664112875,747.8089784196183,679.9139339825063,18159.328155229632,1.846712749685208e-05,7,7,7.0,309.2434646866016,1.3629693254948015e-05,0.515,0.8336666666666667,0.0,0.0,0.6218531869626414,3
conf_cone_r04_d12,3,"6,25,26",1000,1231449497,1e-08,703.8694924650835,8.336042622017056e-13,1.8523358358640873e-12,7.037351978881122e-08,3.253139037328703e-07,2.1501887637755406e-06,1.5375630584720946e-05,5.892897233733315e-05,0.00031106451811120894,0.0008893927266087186,0.0016641614687539074,0.0020731052922039507,0.0021505930809914884,0.002168368141817519,0.002169885648721645,1000,999,998,997,996,993,985,957,879,0,5.867486089526449e-10,1.5273163102729725,0.0,-7.593654429372835,0.0005036371803581695,737.64666290273,659.1201469535556,6665.464085414752,2.8823053738780016e-06,7,8,7.333333333333333,307.6753806237342,5.101608953477526e-06,0.517,0.7443333333333334,0.0,5.739157418818076e-05,0.7166317419738648,0
conf_cone_r04_d12,3,"1,12,26",1000,743656697,1e-08,608.9499754161587,-9.341681054264627e-13,1.8965434856049974e-13,9.803861288328858e-07,1.9168355992831014e-06,4.854124704218914e-06,2.065962535555724e-05,6.375410077808836e-05,0.00035955553812817766,0.000949594227199265,0.0016422411013356706,0.0019598781982146023,0.002034485898876006,0.0021075030526743112,0.0021432620783017574,999,998,998,998,996,996,994,965,879,1,-5.68861644834004e-10,1.3051393898922405,9.341681054264627e-13,-7.504409333683305,0.0005506510053061121,750.5193540197346,676.3537135434792,1099.4699041808906,2.7140644442706704e-06,7,8,7.666666666666667,180.58549991126924,1.996688414072724e-06,0.48,0.6786666666666666,0.0,0.0007560173505771385,0.5782553813083181,0
conf_cone_r04_d12,3,"8,19,27",1000,2054297428,1e-08,568.1040236983608,-8.036339158515232e-13,1.008098299517474e-12,6.143552735148398e-07,3.141394106629457e-05,4.8749897169802436e-05,0.00012770280592918707,0.00025845837825605683,0.0006934515370284347,0.0011885754216074036,0.0013812545607995307,0.001428301072320262,0.001441233677877548,0.0014429628760446612,0.001442980567852242,999,999,998,997,997,995,994,994,959,1,-4.5654766117572026e-10,0.8197630667154042,8.036339158515232e-13,-7.1584663031728155,0.0007782472336917424,881.9258027898769,837.7122895242791,45.933837877886674,8.062614151496098e-06,7,8,7.333333333333333,404.39944317194846,8.129241717846845e-06,0.752,0.8446666666666666,0.0,0.014964671357270793,0.6769776509837486,0
conf_cone_r04_d12,3,"19,20,22",1000,1563235745,1e-08,294.8407022296882,-3.046498550777466e-13,-3.061520518940844e-16,-9.059311042034594e-19,-6.840145268623167e-19,-3.5431146454189705e-19,-2.560351820686841e-20,7.31455422269578e-20,3.8577709610626006e-06,0.00019281152161438562,0.0015534765630093664,0.003450493406182377,0.004339445523634007,0.005235258154705658,0.005597008421784007,928,858,857,856,851,840,809,713,577,71,-8.982317720529555e-11,1.6502258934642753,3.0466870278628056e-13,-11.5924450521015,9.235599299018569e-06,403.3761622488927,326.5131609075789,5.235258154705657e+297,4.4619496427194654e-06,7,8,7.333333333333333,336.03112793787636,4.558093209522693e-06,0.648,0.7410000000000001,0.0,0.0,0.05751758200239795,140
conf_cone_r04_d12,3,"0,6,11",1000,234220179,1e-08,631.4827464656273,2.78284189095638e-13,1.0920443184021784e-12,1.5286184420628903e-06,0.00020564061410415323,0.00023994795193377276,0.00030919197719081926,0.00040905606177279915,0.000718027558748496,0.0010840616512084577,0.001350080770374479,0.001414739921093512,0.0014215190812720186,0.0014235949125270908,0.0014248780361918016,1000,999,997,997,997,995,995,994,993,0,1.7573166402807348e-10,0.8997858956729484,0.0,-7.0864293114708765,0.0008363784871811793,921.4195576029109,878.1429552234497,6.922732256606012,7.287975880070114e-06,7,8,7.333333333333333,318.4815664319193,6.01647591830923e-06,0.528,0.8093333333333333,0.0,0.11516196932945533,0.6885691435720044,0
