scene,N,subset,solver_final_loss,solver_grad_norm,solver_tail_range,solver_restart,solver_iters,solver_si_mae_A,solver_ho_psnr,solver_success_asrecorded,solver_converged_asrecorded,score_P,score_cutoff,score_path,score_full_lam_min_pos_norm,score_full_lam_max_norm,score_full_logdet_pos_norm,score_full_a_opt_pos_norm,score_full_d_pos,score_full_trace,score_full_min_eig,score_full_gauge_residual,score_full_offdiag_max,score_rank_Fk_min,score_active_frac_min,score_boundary_frac_max,scores_matched
conf_egg,8,"4,7,10,13,17,19,21,27",0.00010088604904012755,0.0005118348168778399,nan,0,2400,0.0055755130015313625,20.312755233468774,0,0,1000,1e-08,dense,7.549491292672536e-07,0.001742380807613275,-7.159631944146163,4796.825882210597,999,1938.3860563648714,9.125282011957208e-13,2.926572402426496e-13,0.12863930769497828,9,0.498,0.0,1
conf_egg,8,"4,7,12,13,20,22,27,31",9.353552741231397e-05,0.0004940266567776807,nan,0,2400,0.005463746841996908,18.871924070998457,0,0,1000,1e-08,dense,8.093558665466704e-07,0.0031601780829516816,-7.2740705346476275,5349.601005395159,999,1366.6227076037733,1.489173363236419e-13,7.86125281435645e-14,0.21761709218021988,9,0.489,0.0,1
conf_egg,8,"4,7,15,19,22,25,27,31",8.904810238163918e-05,0.00043697494671621407,nan,0,2400,0.005774540361016989,16.005714422922154,0,0,1000,1e-08,dense,3.46966137069302e-07,0.004063352717025345,-7.87540092208736,35616.792013488775,999,1143.0268366802457,-7.098914616229898e-14,5.003361319759444e-14,0.164871191366263,9,0.486,0.0,1
conf_egg,8,"4,11,12,14,16,19,29,31",9.703286923468113e-05,0.00048616477974231637,nan,0,2400,0.006032281089574099,18.69006479624433,0,0,1000,1e-08,dense,3.4907218108637524e-07,0.002542528719204372,-7.4528243271357475,14715.766099523931,999,1799.177461384829,-1.2752450486097172e-14,5.743976956933711e-14,0.1556327480870785,9,0.523,0.0,1
conf_egg,8,"6,8,10,17,18,23,29,30",0.00010849426325876266,0.0005103575705209163,nan,0,2400,0.005705642979592085,20.602697252153057,0,0,1000,1e-08,dense,8.235085736140005e-07,0.0018913504091153165,-7.1795634200813465,4624.851821776042,999,2226.6978468310253,-1.7547477010096687e-13,6.04388110733123e-14,0.15202355884005186,9,0.606,0.0,1
conf_egg,8,"6,11,13,19,22,23,24,30",0.00010573394683888182,0.0004979749000384637,nan,0,2400,0.005966560915112495,19.419998824359524,0,0,1000,1e-08,dense,5.745531339564081e-07,0.0027785669887905266,-7.283113440183281,6154.209989989444,999,1845.8416153620547,-7.363093895203665e-14,5.898186842688032e-14,0.20521086781881298,9,0.679,0.0,1
conf_egg,8,"7,8,10,14,19,25,27,29",0.00010439571633469313,0.0004996947378818989,nan,0,2400,0.005525289569050074,19.81277366270771,0,0,1000,1e-08,dense,8.818154775707971e-07,0.0023141699770473554,-7.183339669852428,4275.56520334958,999,1846.867076836765,-5.702146654157358e-13,1.4700825328521593e-13,0.2125561924323463,9,0.68,0.0,1
conf_egg,8,"7,10,12,15,17,20,24,31",9.385532757733017e-05,0.0004669679915781395,nan,0,2400,0.0061632925644516945,17.604860225916624,0,0,1000,1e-08,dense,7.917074003748328e-07,0.003756909983795335,-7.546537633556814,10620.31153199342,999,1362.1676648725065,-5.908303360446893e-13,1.337624290909643e-13,0.1708613219034788,9,0.575,0.0,1
conf_ellipsoid_x13z07,3,"0,14,18",0.0001752591342665255,0.0006045793972416911,nan,0,1400,0.007382492534816265,25.384105806069094,0,0,1000,1e-08,dense,8.903013324617788e-07,0.0016869702579304577,-7.028149637978895,3537.6894386283907,999,976.443225159245,-9.379217043122196e-14,9.437313350323774e-14,0.030973443743285062,9,0.727,0.0,1
conf_ellipsoid_x13z07,3,"1,6,15",0.00011834931501653045,0.0005157725294294379,nan,0,1400,0.007569937966763973,15.739342563364387,0,0,1000,1e-08,dense,1.063491565271901e-08,0.0033366892282006085,-7.485559707831932,184283.2563508311,988,413.22065371100695,-1.0459434770115582e-13,8.627486651862691e-14,0.037100116792919226,9,0.603,0.0,1
